David Bainbridge Solr Schema,Forms,Example Value,Pilot Solr Schema,Example Value,,
accessProfile,"_s,_t",google,accessProfile,,,
bibliographicFormat,"_s,_t",BK,type,Book,,
classification_lcc,"_ss,_t",QH51 .C88,,,,
dateCreated,"_s,_t",2016-06-20T03:52:01.5113271Z,,,,
genre,"_ss,_t",not fiction,genre,http://id.loc.gov/vocabulary/marcgt/doc,,
handleUrl,"_s,_t",http://hdl.handle.net/2027/chi.086753788,id,http://hdl.handle.net/2027/chi.086753788,,
hathitrustRecordNumber,"_s,_t",11593351,,,,
htBibUrl,"_s,_t",http://catalog.hathitrust.org/api/volumes/full/htid/chi.086753788.json,,,,
id,,chi.086753788,,,,
imprint,"_s,_t","Hinds, Noble & Eldredge [1904]",publisher,"“Hinds, Nobel & Eldredge”, “Hinds, Nobel & Eldredge”",,
issuance,"_s,_t",monographic,,,,
lccn,"_s,_t",4030941,lccn,,,
language,"_s,_t",eng,,,,
lastUpdateDate,"_s,_t",2012-06-09 19:30:10,,,,
names,"_ss,_t","""Crawford, Mattie Rose. “, ""Elliott, W. H. joint author. “, ""Dearness, John b. 1852 joint author. “, ""Scott, William 1844- joint author. """,contributor,[],,
oclc,"_ss,_t",15525499,oclc,,,
pubDate,"_s,_t",1904,yearPublished,1904,,
pubPlace,"_s,_t",nyu,,,,
rightsAttributes,"_s,_t",pd,rightsAttributes,pd,,
schemaVersion,"_s,_t",1.3,,,,
sourceInstitution,"_s,_t",CHI,sourceOrganization,CHI,,
sourceInstitutionRecordNumber,"_s,_t",4040352,,,,
title,"_s,_t","Nature-study lessons, by Mattie Rose Crawford ... William Scott ... John Dearness ... W.H. Elliott ... with an introduction by Edward F. Bigelow ...",title,Nature-study lessons,,
typeOfResource,"_s,_t",text,typeOfResource,http://id.loc.gov/ontologies/bibframe/Text,,
volumeIdentifier,"_s,_t",chi.086753788,,,,
_version_,,1567096661304410112,,,,
,,,provider,htrc,,
,,,isAccessibleForFree,TRUE,,
,,,datePublished,“1904-12-31”,,
,,,alternateTitle,,,
,,,inLanguage,,,
,,,issn,,,
,,,isbn,,,
,,,doi,,,
,,,identifier,,,
,,,journalTitle,,,
,,,issueTitle,,,
,,,text,,,
,,,seq,,,
,,,isPartOf,,,
,,,volumeNumber,,,
,,,issueNumber,,,
,,,pagination,,,
,,,pageStart,,,
,,,pageEnd,,,
,,,pageCount,,,
